"Product Questions","Questions Produits"
"Customer Questions","Questions Clients"
"Manage Questions","Gérer les questions"
"Write a Review","Rédiger un avis"
"No questions yet. Be the first to ask!","Aucune question pour le moment. Soyez le premier à poser une question !"
"Was this helpful?","Cette réponse est-elle utile ?"
"Verified Purchase","Achat vérifié"
"You must be logged in to submit a review.","Vous devez être connecté pour soumettre un avis."
"Please log in to write a review.","Veuillez vous connecter pour écrire un avis."
"Please log in to ask a question.","Veuillez vous connecter pour poser une question."
"Error submitting review: ","Erreur lors de la soumission de l'avis : "
"Error recording vote: ","Erreur lors de l'enregistrement du vote : "
"Rating","Note"
"Title","Titre"
"Detail","Détail"
"Status","Statut"
"Verified Purchase","Achat vérifié"
"Pending","En attente"
"Approved","Approuvé"
"Rejected","Rejeté"
"5 Stars","5 étoiles"
"4 Stars","4 étoiles"
"3 Stars","3 étoiles"
"2 Stars","2 étoiles"
"1 Star","1 étoile"
"Product ID","ID produit"
"Customer ID","ID client"
"Created At","Créé le"
"Add New Question","Ajouter une question"
"Save","Enregistrer"
"Back","Retour"
"Reset","Réinitialiser"
"Edit","Modifier"
"Delete","Supprimer"
"Are you sure you want to delete this question?","Êtes-vous sûr de vouloir supprimer cette question ?"
"The question has been saved.","La question a été enregistrée."
"The question has been deleted.","La question a été supprimée."
"Product Questions","Questions Produits"
"questions","questions"
"Your question has been submitted and is pending approval.","Votre question a été soumise et est en attente d'approbation."
"Please enter your question.","Veuillez saisir votre question."
"Error submitting question: ","Erreur lors de la soumission de la question : "
"Your review has been submitted and is pending approval.","Votre avis a été soumis et est en attente d'approbation."
"Question","Question"
"Official Answer","Réponse officielle"
"Your Question","Votre question"
"Submit Question","Soumettre la question"
"Your question will be visible after approval.","Votre question sera visible après approbation."
"Please fill in all required fields and select a rating.","Veuillez remplir tous les champs obligatoires et sélectionner une note."
"Save &amp; Answer","Enregistrer et répondre"
"Product ID","ID produit"
"Customer Name","Nom du client"
"Customer Email","Email du client"
"Helpful Count","Compteur d'utilité"
"Verified Purchase","Achat vérifié"
"Verified","Vérifié"
"Add New Review","Ajouter un nouvel avis"
"Add New Question","Ajouter une nouvelle question"
"No answers yet.","Aucune réponse pour le moment."
"Answers","Réponses"
"Official Answer","Réponse officielle"
"Yes","Oui"
"No","Non"
