"Product Labels","Étiquettes produits"
"Label Name","Nom de l'étiquette"
"Code","Code"
"Background Color","Couleur de fond"
"Text Color","Couleur du texte"
"Priority","Priorité"
"Position","Position"
"Icon","Icône"
"Start Date","Date de début"
"End Date","Date de fin"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
"Top Left","En haut à gauche"
"Top Right","En haut à droite"
"Bottom Left","En bas à gauche"
"Bottom Right","En bas à droite"
"Related Products","Produits associés"
"Select","Sélectionner"
"Label Information","Informations sur l'étiquette"
"Save","Enregistrer"
"Back","Retour"
"Reset","Réinitialiser"
"Add New Label","Ajouter une étiquette"
"Edit Product Label","Modifier l'étiquette produit"
"New Product Label","Nouvelle étiquette produit"
"Product label saved successfully.","L'étiquette produit a été enregistrée avec succès."
"Product label deleted successfully.","L'étiquette produit a été supprimée avec succès."
"Product label with ID \"%1\" does not exist.","L'étiquette produit avec l'ID \"%1\" n'existe pas."
"Could not save product label: %1","Impossible d'enregistrer l'étiquette produit : %1"
"Could not delete product label: %1","Impossible de supprimer l'étiquette produit : %1"
"Please select items to delete.","Veuillez sélectionner des éléments à supprimer."
"Please select items.","Veuillez sélectionner des éléments."
"Selected labels have been deleted.","Les étiquettes sélectionnées ont été supprimées."
"Selected labels have been updated.","Les étiquettes sélectionnées ont été mises à jour."
"Could not delete label ID %1: %2","Impossible de supprimer l'étiquette ID %1 : %2"
"Could not update label ID %1: %2","Impossible de mettre à jour l'étiquette ID %1 : %2"
"This product label no longer exists.","Cette étiquette produit n'existe plus."
"Change status","Changer le statut"
"Are you sure you want to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Delete items","Supprimer les éléments"
